W0,1000000.0,W,10000.0,N,10,FLNG position,5000.0,FSRU position,0
 , ,wave,FSRU,,FLNG,,ship0,,,,,ship1,,,,,ship2,,,,,ship3,,,,,ship4,,,,,ship5,,,,,ship6,,,,,ship7,,,,,ship8,,,,,ship9,,,,
day,time,enableLoad,amount,loading,amount,loading,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime
2,14,1,0.0,0,30000.0,0,1200.0,0.0,0,40.0,96,781.2499999999998,0.0,0,26.041666666666668,163,609.7560975609756,0.0,0,20.325203252032523,217,480.7692307692311,0.0,0,16.025641025641026,283,409.8360655737707,0.0,0,13.66120218579235,337,347.22222222222223,0.0,0,11.574074074074074,403,308.641975308642,0.0,0,10.2880658436214,457,271.73913043478257,0.0,0,9.057971014492754,523,247.5247524752474,0.0,0,8.250825082508252,577,223.2142857142859,0.0,0,7.44047619047619,643,
2,15,1,0.0,0,31000.0,0,1240.0,0.0,0,40.0,95,807.2916666666664,0.0,0,26.041666666666668,162,630.0813008130082,0.0,0,20.32520325203252,216,496.79487179487217,0.0,0,16.025641025641022,282,423.4972677595631,0.0,0,13.66120218579235,336,358.7962962962963,0.0,0,11.574074074074073,402,318.93004115226336,0.0,0,10.2880658436214,456,280.7971014492753,0.0,0,9.057971014492752,522,255.77557755775564,0.0,0,8.25082508250825,576,230.6547619047621,0.0,0,7.44047619047619,642,
2,16,1,0.0,0,32000.0,0,1280.0,0.0,0,40.0,94,833.333333333333,0.0,0,26.04166666666667,161,650.4065040650407,0.0,0,20.32520325203252,215,512.8205128205132,0.0,0,16.025641025641026,281,437.1584699453555,0.0,0,13.661202185792348,335,370.3703703703704,0.0,0,11.574074074074073,401,329.21810699588474,0.0,0,10.288065843621398,455,289.85507246376807,0.0,0,9.057971014492754,521,264.0264026402639,0.0,0,8.250825082508252,575,238.0952380952383,0.0,0,7.44047619047619,641,
2,17,1,0.0,0,33000.0,0,1320.0,0.0,0,40.0,93,859.3749999999997,0.0,0,26.041666666666668,160,670.7317073170733,0.0,0,20.325203252032523,214,528.8461538461542,0.0,0,16.025641025641022,280,450.81967213114785,0.0,0,13.66120218579235,334,381.94444444444446,0.0,0,11.574074074074074,400,339.5061728395061,0.0,0,10.288065843621398,454,298.9130434782608,0.0,0,9.057971014492754,520,272.2772277227721,0.0,0,8.250825082508252,574,245.5357142857145,0.0,0,7.44047619047619,640,
2,18,1,0.0,0,34000.0,0,1360.0,0.0,0,40.0,92,885.4166666666663,0.0,0,26.041666666666668,159,691.0569105691059,0.0,0,20.32520325203252,213,544.8717948717951,0.0,0,16.025641025641026,279,464.48087431694023,0.0,0,13.661202185792348,333,393.51851851851853,0.0,0,11.574074074074074,399,349.7942386831275,0.0,0,10.2880658436214,453,307.97101449275357,0.0,0,9.057971014492754,519,280.52805280528037,0.0,0,8.250825082508252,573,252.9761904761907,0.0,0,7.44047619047619,639,
2,19,1,0.0,0,35000.0,0,1400.0,0.0,0,40.0,91,911.4583333333329,0.0,0,26.04166666666667,158,711.3821138211384,0.0,0,20.32520325203252,212,560.8974358974361,0.0,0,16.025641025641026,278,478.1420765027326,0.0,0,13.661202185792348,332,405.0925925925926,0.0,0,11.574074074074074,398,360.0823045267489,0.0,0,10.2880658436214,452,317.0289855072463,0.0,0,9.057971014492752,518,288.7788778877886,0.0,0,8.25082508250825,572,260.4166666666669,0.0,0,7.44047619047619,638,
2,20,1,0.0,0,36000.0,0,1440.0,0.0,0,40.0,90,937.4999999999995,0.0,0,26.041666666666668,157,731.707317073171,0.0,0,20.32520325203252,211,576.9230769230771,0.0,0,16.025641025641022,277,491.803278688525,0.0,0,13.66120218579235,331,416.6666666666667,0.0,0,11.574074074074073,397,370.37037037037027,0.0,0,10.2880658436214,451,326.08695652173907,0.0,0,9.057971014492754,517,297.02970297029685,0.0,0,8.250825082508252,571,267.8571428571431,0.0,0,7.44047619047619,637,
2,21,1,0.0,0,37000.0,0,1480.0,0.0,0,40.0,89,963.5416666666662,0.0,0,26.041666666666668,156,752.0325203252036,0.0,0,20.32520325203252,210,592.9487179487181,0.0,0,16.025641025641026,276,505.46448087431736,0.0,0,13.661202185792348,330,428.24074074074076,0.0,0,11.574074074074073,396,380.65843621399165,0.0,0,10.2880658436214,450,335.1449275362318,0.0,0,9.057971014492754,516,305.2805280528051,0.0,0,8.250825082508252,570,275.2976190476193,0.0,0,7.44047619047619,636,
2,22,1,0.0,0,38000.0,0,1520.0,0.0,0,40.0,88,989.5833333333328,0.0,0,26.04166666666667,155,772.3577235772361,0.0,0,20.32520325203252,209,608.9743589743591,0.0,0,16.025641025641026,275,519.1256830601097,0.0,0,13.661202185792346,329,439.81481481481484,0.0,0,11.574074074074074,395,390.94650205761303,0.0,0,10.288065843621398,449,344.20289855072457,0.0,0,9.057971014492754,515,313.53135313531334,0.0,0,8.25082508250825,569,282.7380952380955,0.0,0,7.44047619047619,635,
2,23,1,0.0,0,39000.0,0,1560.0,0.0,0,40.0,87,1015.6249999999994,0.0,0,26.041666666666668,154,792.6829268292687,0.0,0,20.325203252032516,208,625.0000000000001,0.0,0,16.025641025641026,274,532.7868852459021,0.0,0,13.661202185792348,328,451.3888888888889,0.0,0,11.574074074074074,394,401.2345679012344,0.0,0,10.2880658436214,448,353.2608695652173,0.0,0,9.057971014492752,514,321.7821782178216,0.0,0,8.250825082508252,568,290.17857142857173,0.0,0,7.44047619047619,634,
